speaker,score_run_1,score_run_2,score_run_3,score_run_4,score_run_5
03,0.6122448979591837,0.6530612244897959,0.5306122448979592,0.5510204081632653,0.5510204081632653
08,0.5357142857142857,0.5892857142857143,0.5714285714285714,0.5714285714285714,0.5357142857142857
09,0.4883720930232558,0.5581395348837209,0.5813953488372093,0.4883720930232558,0.5581395348837209
10,0.5789473684210527,0.5526315789473685,0.6578947368421053,0.7105263157894737,0.6052631578947368
11,0.4909090909090909,0.509090909090909,0.4909090909090909,0.45454545454545453,0.5454545454545454
12,0.6857142857142857,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.7142857142857143
13,0.7213114754098361,0.7049180327868853,0.6557377049180327,0.6721311475409836,0.6557377049180327
14,0.5652173913043478,0.6086956521739131,0.6231884057971014,0.6956521739130435,0.6086956521739131
15,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.5,0.5
16,0.4647887323943662,0.4647887323943662,0.49295774647887325,0.4788732394366197,0.5492957746478874
